species,pixeles_alto_oficial,pixeles_alto_emmean,cambio_pct_area_alta
Araujia sericifera,61040,57452,-5.88
Austroeupatorium inulifolium,153727,152634,-0.71
Ceiba speciosa,159113,153445,-3.56
Celtis tala,51085,49798,-2.52
Cortaderia selloana,543736,544049,0.06
Duranta erecta,99697,97340,-2.36
Erythrina crista-galli,60961,61205,0.4
Ipomoea alba,212930,208401,-2.13
Jacaranda mimosifolia,183651,183028,-0.34
Passiflora caerulea,267039,267597,0.21
Phytolacca dioica,137391,136276,-0.81
Salpichroa origanifolia,378077,377073,-0.27
Schinus molle,279012,276184,-1.01
Senna corymbosa,96752,95225,-1.58
Solanum pseudocapsicum,349740,349802,0.02
Syagrus romanzoffiana,206830,204281,-1.23
Tecoma stans,145896,146588,0.47
Tipuana tipu,85714,88542,3.3
Vachellia caven,341586,344266,0.78
