partido,indice_oficial,rango_oficial,indice_robustez,rango_robustez,cambio_rango
Quilmes,0.9244,1,0.8867,1,0
Vicente López,0.9172,2,0.869,12,-10
San Isidro,0.9149,3,0.8669,16,-13
Lomas de Zamora,0.9131,4,0.876,6,-2
Berazategui,0.9117,5,0.8722,9,-4
General San Martín,0.9112,6,0.8696,11,-5
Almirante Brown,0.9108,7,0.8812,3,4
La Plata,0.91,8,0.8785,5,3
Avellaneda,0.9077,9,0.8524,24,-15
General Sarmiento,0.9075,10,0.8794,4,6
Lanús,0.9071,11,0.861,19,-8
San Fernando (2),0.9063,12,0.8576,21,-9
Tres de Febrero,0.9057,13,0.8671,15,-2
Morón,0.9045,14,0.8676,13,1
Florencio Varela,0.9044,15,0.8744,8,7
Tigre,0.9021,16,0.8594,20,-4
Ensenada,0.9009,17,0.8496,26,-9
Moreno,0.8988,18,0.8836,2,16
Escobar,0.8981,19,0.8744,7,12
Berisso,0.8918,20,0.8382,29,-9
Merlo,0.8897,21,0.8674,14,7
Brandsen,0.8867,22,0.8633,17,5
La Matanza,0.8867,23,0.8611,18,5
San Fernando (1),0.8848,24,0.8517,25,-1
Pilar,0.8818,25,0.8711,10,15
Esteban Echeverría,0.8774,26,0.8567,22,4
Campana,0.874,27,0.8525,23,4
Magdalena,0.8649,28,0.8388,28,0
San Vicente,0.8611,29,0.8414,27,2
Marcos Paz,0.8357,30,0.8335,31,-1
Chascomús,0.8346,31,0.8174,33,-2
General Rodríguez,0.8312,32,0.8365,30,2
Pinamar,0.8259,33,0.7892,39,-6
General Paz,0.8247,34,0.814,34,0
Zárate,0.8142,35,0.7946,38,-3
Exaltación de la Cruz,0.8132,36,0.8225,32,4
Cañuelas,0.8035,37,0.7971,36,1
Luján,0.7908,38,0.8049,35,3
Castelli,0.784,39,0.762,42,-3
General Las Heras,0.7827,40,0.7963,37,3
Villa Gesell,0.7668,41,0.7478,43,-2
Monte,0.7637,42,0.7764,40,2
Dolores,0.749,43,0.7255,48,-5
Pila,0.7414,44,0.735,45,-1
General Pueyrredón,0.74,45,0.7215,51,-6
Lobos,0.7332,46,0.7647,41,5
Baradero,0.7282,47,0.7194,53,-6
General Juan Madariaga,0.722,48,0.7092,61,-13
Nueve de Julio,0.7199,49,0.7183,55,-6
General Belgrano,0.7188,50,0.7296,47,3
San Nicolás,0.7169,51,0.7226,50,1
General Guido,0.7157,52,0.7088,62,-10
Ramallo,0.7145,53,0.7206,52,1
San Pedro,0.714,54,0.7164,57,-3
San Andrés de Giles,0.7137,55,0.7346,46,9
Bragado,0.713,56,0.7192,54,2
Navarro,0.6981,57,0.7377,44,13
Veinticinco de Mayo,0.697,58,0.7173,56,2
San Antonio de Areco,0.6951,59,0.6932,69,-10
Tordillo,0.6941,60,0.6758,81,-21
Maipú,0.6905,61,0.6879,73,-12
Roque Pérez,0.6895,62,0.725,49,13
Alberti,0.6878,63,0.7136,59,4
Mar Chiquita,0.6863,64,0.6931,70,-6
General Alvarado,0.6857,65,0.7034,64,1
General Alvear,0.6807,66,0.6983,68,-2
Mercedes,0.6806,67,0.7156,58,9
La Costa,0.679,68,0.6655,87,-19
Rauch,0.6788,69,0.6993,66,3
Arrecifes,0.6762,70,0.6876,75,-5
Chivilcoy,0.6738,71,0.7051,63,8
General Lavalle,0.6724,72,0.6549,89,-17
Tapalqué,0.672,73,0.6797,78,-5
Saladillo,0.6706,74,0.7117,60,14
Las Flores,0.6703,75,0.6984,67,8
Necochea,0.658,76,0.6893,72,4
Suipacha,0.6562,77,0.7021,65,12
Capitán Sarmiento,0.6557,78,0.6683,86,-8
Lobería,0.6554,79,0.6835,76,3
Carmen de Areco,0.6541,80,0.6796,79,1
Ayacucho,0.6524,81,0.6808,77,4
San Cayetano,0.6448,82,0.6877,74,8
Azul,0.6381,83,0.6707,83,0
Balcarce,0.6378,84,0.6606,88,-4
General Viamonte,0.6333,85,0.6409,94,-9
Tres Arroyos,0.6253,86,0.6912,71,15
Junín,0.6244,87,0.6335,95,-8
Carlos Casares,0.6171,88,0.6114,101,-13
Pergamino,0.6135,89,0.6158,99,-10
Colón,0.6054,90,0.6174,97,-7
General Arenales,0.6011,91,0.6162,98,-7
Rojas,0.5956,92,0.604,103,-11
Salto,0.5924,93,0.5974,105,-12
Chacabuco,0.5821,94,0.6765,80,14
