species,longitude,latitude
Celtis tala,-59.8729388416,-33.6584546353
Celtis tala,-57.6465611,-36.3061147
Celtis tala,-58.5003877804,-34.5571688261
Celtis tala,-58.417075,-35.0094083333
Celtis tala,-56.86205212,-36.5973408
Celtis tala,-58.2052253042,-35.2651254882
Celtis tala,-58.8963046297,-34.2267028164
Celtis tala,-56.838138,-36.338895
Celtis tala,-57.9203376667,-35.1313095
Celtis tala,-58.3571033333,-34.925445
Celtis tala,-56.5709353611,-34.5118357675
Celtis tala,-60.1820873758,-33.4018059796
Celtis tala,-58.0733861667,-34.86642
Celtis tala,-58.355322,-34.5972459722
Celtis tala,-57.527337,-36.386851
Celtis tala,-57.9671746865,-34.9048058998
Celtis tala,-57.2624083,-35.2462239
Celtis tala,-58.7782089785,-34.6161556115
Celtis tala,-61.48353,-33.6580316667
Celtis tala,-58.4339635447,-34.7835771891
Celtis tala,-59.0823836316,-34.4004167711
Celtis tala,-57.781595,-37.9446916667
Celtis tala,-58.985650698,-34.3103798985
Celtis tala,-56.7164583333,-34.33013
Celtis tala,-58.1258504474,-34.7709759557
Celtis tala,-58.4641675981,-34.6632825422
Celtis tala,-61.0469861111,-33.4139194444
Celtis tala,-58.6739019479,-34.6468231775
Celtis tala,-58.8019891293,-35.46024647
Celtis tala,-58.7675789722,-38.1767129722
Celtis tala,-58.0144592483,-35.579388275
Celtis tala,-58.6100652007,-34.5490090842
Celtis tala,-58.835484752,-34.7774640476
Celtis tala,-58.3662640953,-34.4448698718
Celtis tala,-58.2529517951,-34.5055136808
Celtis tala,-57.14608,-33.2806633333
Celtis tala,-57.0647966667,-33.6734133333
Celtis tala,-60.1122876399,-38.7896966054
Celtis tala,-56.9111266667,-33.5767133333
Celtis tala,-56.582615,-33.5051733333
Celtis tala,-57.1629497108,-35.3776809978
Celtis tala,-58.5003184,-34.4642154
Celtis tala,-58.655361269,-34.7842581481
Celtis tala,-58.2279926117,-34.8569437163
Celtis tala,-59.2512618,-34.4347291997
Celtis tala,-57.8376629722,-35.8256039722
Celtis tala,-58.1251928466,-35.5376353993
Celtis tala,-58.0260666041,-35.6699212383
Celtis tala,-57.6588463927,-35.5261696209
Celtis tala,-60.1070507616,-34.901166432
Celtis tala,-58.2984958818,-34.6799337051
Celtis tala,-58.047353194,-37.7010059913
Celtis tala,-58.8045578,-33.5007183
Celtis tala,-57.3919629788,-35.1351472739
Celtis tala,-57.4458653397,-36.0383501001
Celtis tala,-58.916764144,-34.4126133837
Celtis tala,-58.7718947443,-34.2980485865
