nombre,km2_compatible,km2_quemado,pct_quemado
La Campana - Peñuelas,1358,193.6,14.3
Bosque Fray Jorge (RB),397.3,0,0
Lago Peñuelas,75.8,33.9,44.8
Roblería del Cobre de Loncha,13.7,0,0
Palmas de Cocalán,10.1,1.4,14.3
Cerro Santa Inés,7.2,1.4,20
Horcón de Piedra (Fundo Rinconada de Chocalán),6.5,0,0
Área de Palma Chilena de Monte Aranda,5.1,0,0
Palmar El Salto,3.6,2.9,80
San Juan de Piche,2.9,0,0
Cerro Poqui,2.2,0,0
Quebrada Llau Llau,2.2,0,0
Pichasca,1.4,0,0
Quebrada de La Plata,1.4,0.7,50
Playa Tunquén - Quebrada Seca,0.7,0,0
Tres Cruces,0.7,0,0
