"col1_2022","col2_2024","Freq"
"66","66",11762
"21","18",4894
"21","66",2785
"3","59",1151
"3","66",1115
"9","9",690
"24","24",604
"12","66",592
"12","12",506
"3","3",450
"9","66",366
"3","60",339
"66","60",339
"66","18",322
"21","12",301
"24","66",246
"66","9",244
"3","9",232
"21","24",217
"24","18",204
"66","12",193
"21","15",172
"66","59",130
"33","33",120
"21","9",109
"29","66",92
"3","18",67
"21","60",64
"12","18",61
"9","60",56
"29","29",55
"9","59",50
"9","18",48
"25","25",40
"21","33",39
"23","23",33
"21","29",28
"66","24",26
"25","66",26
"66","3",23
"12","25",21
"23","25",20
"24","12",19
"24","23",17
"23","66",17
"23","12",14
"24","25",13
"25","12",12
"11","18",12
"21","23",12
"12","24",10
"21","25",9
"9","3",7
"21","3",6
"66","23",6
"23","24",6
"66","15",5
"23","18",5
"66","29",5
"9","33",5
"9","15",4
"61","25",4
"9","29",4
"23","29",4
"29","33",4
"66","33",4
"21","59",4
"11","11",3
"12","15",3
"11","24",3
"33","25",3
"25","33",3
"12","9",2
"21","11",2
"3","15",2
"12","23",2
"29","25",2
"66","25",2
"25","29",2
"3","33",2
"12","33",2
"24","33",2
"24","59",2
"33","66",2
"11","9",1
"23","9",1
"3","12",1
"33","18",1
"25","23",1
"3","24",1
"9","24",1
"12","29",1
"24","29",1
"33","29",1
"23","33",1
"23","34",1
"12","59",1
"12","60",1
"23","60",1
"11","66",1
