especie,lat,lon
Jubaea chilensis,-33.349723,-71.468008
Jubaea chilensis,-32.805955,-71.525881
Jubaea chilensis,-34.331058,-70.888699
Jubaea chilensis,-33.400818,-71.126754
Jubaea chilensis,-32.736179,-70.644027
Jubaea chilensis,-33.261697,-70.794156
Jubaea chilensis,-32.838158,-71.036583
Jubaea chilensis,-33.063417,-71.065782
Jubaea chilensis,-33.66857,-71.155925
Jubaea chilensis,-32.873518,-71.243351
Jubaea chilensis,-33.039841,-71.37901
Jubaea chilensis,-34.17053,-70.740415
Jubaea chilensis,-34.740158,-71.502832
Jubaea chilensis,-34.511668,-71.874172
Jubaea chilensis,-32.446379,-71.230682
Jubaea chilensis,-32.012532,-71.132848
Jubaea chilensis,-31.696363,-70.86726
Jubaea chilensis,-30.004381,-71.043197
Jubaea chilensis,-31.778288,-70.965974
Jubaea chilensis,-32.091448,-71.007499
Jubaea chilensis,-34.033194,-71.099717
Jubaea chilensis,-35.183946,-71.754461
Jubaea chilensis,-34.335506,-70.763126
Jubaea chilensis,-34.749621,-71.918001
Jubaea chilensis,-33.350988,-71.633701
Jubaea chilensis,-34.85182,-71.488787
Jubaea chilensis,-34.291063,-71.301403
Jubaea chilensis,-33.044272,-71.621197
Jubaea chilensis,-31.923681,-71.182941
Jubaea chilensis,-29.93085,-71.16693
Jubaea chilensis,-34.184191,-71.149811
Jubaea chilensis,-33.135468,-71.598713
Jubaea chilensis,-33.996131,-70.716497
Jubaea chilensis,-33.546087,-71.476052
Jubaea chilensis,-32.176784,-71.157683
Jubaea chilensis,-34.98266,-71.232469
Jubaea chilensis,-33.195094,-71.491199
Jubaea chilensis,-34.997819,-71.805159
Jubaea chilensis,-34.654826,-71.877106
Jubaea chilensis,-34.484892,-72.010409
Jubaea chilensis,-34.728219,-71.644284
Jubaea chilensis,-32.926756,-71.50866
Jubaea chilensis,-33.439599,-71.450829
Jubaea chilensis,-33.912789,-71.424742
Jubaea chilensis,-32.938142,-71.029056
Jubaea chilensis,-34.000744,-71.229788
Jubaea chilensis,-33.915571,-71.058847
Jubaea chilensis,-33.002824,-71.263732
Jubaea chilensis,-34.434383,-70.88765
Jubaea chilensis,-34.795728,-71.048125
Jubaea chilensis,-32.801196,-71.150328
Jubaea chilensis,-33.051608,-71.507667
Jubaea chilensis,-34.54325,-70.94962
Jubaea chilensis,-35.055989,-71.492287
Jubaea chilensis,-34.994768,-71.924039
Jubaea chilensis,-34.997713,-71.372987
Jubaea chilensis,-35.0863,-71.606078
Jubaea chilensis,-35.288551,-71.531414
Jubaea chilensis,-32.785139,-70.930191
Jubaea chilensis,-33.644678999999996,-71.42943
Jubaea chilensis,-34.947434,-71.630683
Jubaea chilensis,-33.338359,-70.93997
Jubaea chilensis,-31.25024,-71.617721
Jubaea chilensis,-33.46,-70.59
Jubaea chilensis,-29.98697,-70.909905
Jubaea chilensis,-30.465388,-71.556896
Jubaea chilensis,-32.564011,-71.443428
Jubaea chilensis,-34.134386,-70.967109
Jubaea chilensis,-33.591327,-71.588214
Jubaea chilensis,-32.969911,-71.142399
Jubaea chilensis,-35.166666,-71.233332
