partido,provincia,idoneidad_media,idoneidad_maxima,area_alta_idoneidad_km2,species,rango
Quilmes,Buenos Aires,0.9055,0.923,95.95,Araujia sericifera,1
Berazategui,Buenos Aires,0.8972,0.921,224.13,Araujia sericifera,2
Lomas de Zamora,Buenos Aires,0.8888,0.907,88.17,Araujia sericifera,3
Avellaneda,Buenos Aires,0.8858,0.912,60.01,Araujia sericifera,4
Almirante Brown,Buenos Aires,0.8852,0.908,127.54,Araujia sericifera,5
Vicente López,Buenos Aires,0.8845,0.903,36.78,Araujia sericifera,6
Ensenada,Buenos Aires,0.8833,0.918,109.22,Araujia sericifera,7
La Plata,Buenos Aires,0.8824,0.917,871.35,Araujia sericifera,8
Lanús,Buenos Aires,0.8817,0.901,47.99,Araujia sericifera,9
Florencio Varela,Buenos Aires,0.8778,0.914,203.54,Araujia sericifera,10
San Isidro,Buenos Aires,0.8752,0.893,53.07,Araujia sericifera,11
General San Martín,Buenos Aires,0.8749,0.899,57.27,Araujia sericifera,12
Tres de Febrero,Buenos Aires,0.8702,0.892,43.81,Araujia sericifera,13
Berisso,Buenos Aires,0.8693,0.91,150.67,Araujia sericifera,14
Morón,Buenos Aires,0.8667,0.899,130.68,Araujia sericifera,15
General Sarmiento,Buenos Aires,0.8548,0.9,203.71,Araujia sericifera,16
Tigre,Buenos Aires,0.8434,0.89,403.1,Araujia sericifera,17
Brandsen,Buenos Aires,0.8419,0.896,1136.29,Araujia sericifera,18
Magdalena,Buenos Aires,0.841,0.891,3537.43,Araujia sericifera,19
Moreno,Buenos Aires,0.8366,0.889,185.82,Araujia sericifera,20
San Fernando (2),Buenos Aires,0.8347,0.885,26.19,Araujia sericifera,21
La Matanza,Buenos Aires,0.8296,0.905,321.57,Araujia sericifera,22
Escobar,Buenos Aires,0.8277,0.883,294.89,Araujia sericifera,23
Esteban Echeverría,Buenos Aires,0.8263,0.897,390.24,Araujia sericifera,24
Merlo,Buenos Aires,0.8244,0.873,170.78,Araujia sericifera,25
San Vicente,Buenos Aires,0.8229,0.879,738.63,Araujia sericifera,26
Pilar,Buenos Aires,0.8102,0.872,378.01,Araujia sericifera,27
Chascomús,Buenos Aires,0.7959,0.9,4196.17,Araujia sericifera,28
San Fernando (1),Buenos Aires,0.7836,0.859,1000.93,Araujia sericifera,29
Campana,Buenos Aires,0.7796,0.86,996.06,Araujia sericifera,30
Marcos Paz,Buenos Aires,0.7791,0.831,429.95,Araujia sericifera,31
Cañuelas,Buenos Aires,0.7718,0.836,1195.58,Araujia sericifera,32
General Paz,Buenos Aires,0.7714,0.832,1189.55,Araujia sericifera,33
General Rodríguez,Buenos Aires,0.7644,0.825,370.76,Araujia sericifera,34
Monte,Buenos Aires,0.7223,0.832,1872.47,Araujia sericifera,35
