partido,provincia,idoneidad_media,idoneidad_maxima,area_alta_idoneidad_km2,species,rango
Quilmes,Buenos Aires,0.8884,0.904,95.95,Austroeupatorium inulifolium,1
General San Martín,Buenos Aires,0.8845,0.9,57.27,Austroeupatorium inulifolium,2
San Isidro,Buenos Aires,0.8833,0.899,53.07,Austroeupatorium inulifolium,3
Vicente López,Buenos Aires,0.8831,0.897,36.78,Austroeupatorium inulifolium,4
Tres de Febrero,Buenos Aires,0.8779,0.894,43.81,Austroeupatorium inulifolium,5
Lanús,Buenos Aires,0.8777,0.889,47.99,Austroeupatorium inulifolium,6
Lomas de Zamora,Buenos Aires,0.8774,0.897,88.17,Austroeupatorium inulifolium,7
San Fernando (2),Buenos Aires,0.876,0.891,26.19,Austroeupatorium inulifolium,8
Avellaneda,Buenos Aires,0.8729,0.891,60.01,Austroeupatorium inulifolium,9
Morón,Buenos Aires,0.8713,0.895,130.68,Austroeupatorium inulifolium,10
Almirante Brown,Buenos Aires,0.8702,0.893,127.54,Austroeupatorium inulifolium,11
Berazategui,Buenos Aires,0.8687,0.902,224.13,Austroeupatorium inulifolium,12
General Sarmiento,Buenos Aires,0.8643,0.892,203.71,Austroeupatorium inulifolium,13
Tigre,Buenos Aires,0.8608,0.893,403.1,Austroeupatorium inulifolium,14
Florencio Varela,Buenos Aires,0.8594,0.898,203.54,Austroeupatorium inulifolium,15
Moreno,Buenos Aires,0.853,0.876,186.52,Austroeupatorium inulifolium,16
La Matanza,Buenos Aires,0.8522,0.891,321.57,Austroeupatorium inulifolium,17
Merlo,Buenos Aires,0.8522,0.881,170.78,Austroeupatorium inulifolium,18
Escobar,Buenos Aires,0.851,0.881,294.89,Austroeupatorium inulifolium,19
Ensenada,Buenos Aires,0.8502,0.884,109.22,Austroeupatorium inulifolium,20
San Fernando (1),Buenos Aires,0.8497,0.885,1020.83,Austroeupatorium inulifolium,21
Esteban Echeverría,Buenos Aires,0.8479,0.888,390.24,Austroeupatorium inulifolium,22
Pilar,Buenos Aires,0.8426,0.874,378.01,Austroeupatorium inulifolium,23
Berisso,Buenos Aires,0.8271,0.875,150.67,Austroeupatorium inulifolium,24
Campana,Buenos Aires,0.8262,0.874,996.06,Austroeupatorium inulifolium,25
La Plata,Buenos Aires,0.8254,0.888,871.35,Austroeupatorium inulifolium,26
San Vicente,Buenos Aires,0.8131,0.863,738.63,Austroeupatorium inulifolium,27
Marcos Paz,Buenos Aires,0.8068,0.851,429.95,Austroeupatorium inulifolium,28
General Rodríguez,Buenos Aires,0.793,0.852,372.88,Austroeupatorium inulifolium,29
Zárate,Buenos Aires,0.7792,0.867,1225.47,Austroeupatorium inulifolium,30
Brandsen,Buenos Aires,0.7767,0.849,1136.29,Austroeupatorium inulifolium,31
Cañuelas,Buenos Aires,0.7708,0.847,1195.58,Austroeupatorium inulifolium,32
Exaltación de la Cruz,Buenos Aires,0.7561,0.854,642.5,Austroeupatorium inulifolium,33
Luján,Buenos Aires,0.7243,0.843,767.68,Austroeupatorium inulifolium,34
General Las Heras,Buenos Aires,0.7215,0.818,739.94,Austroeupatorium inulifolium,35
Baradero,Buenos Aires,0.707,0.846,1497.05,Austroeupatorium inulifolium,36
Magdalena,Buenos Aires,0.6823,0.845,3220.15,Austroeupatorium inulifolium,37
General Paz,Buenos Aires,0.682,0.813,1091.76,Austroeupatorium inulifolium,38
Monte,Buenos Aires,0.666,0.813,1580.49,Austroeupatorium inulifolium,39
San Pedro,Buenos Aires,0.6614,0.834,1187.17,Austroeupatorium inulifolium,40
Ramallo,Buenos Aires,0.6499,0.812,848.17,Austroeupatorium inulifolium,41
San Antonio de Areco,Buenos Aires,0.6442,0.774,652.49,Austroeupatorium inulifolium,42
San Nicolás,Buenos Aires,0.6236,0.791,468.92,Austroeupatorium inulifolium,43
Lobos,Buenos Aires,0.6013,0.799,883.55,Austroeupatorium inulifolium,44
San Andrés de Giles,Buenos Aires,0.5927,0.726,624.74,Austroeupatorium inulifolium,45
Arrecifes,Buenos Aires,0.5883,0.676,579.54,Austroeupatorium inulifolium,46
Capitán Sarmiento,Buenos Aires,0.5676,0.647,125.1,Austroeupatorium inulifolium,47
Pergamino,Buenos Aires,0.5637,0.688,902.4,Austroeupatorium inulifolium,48
Bragado,Buenos Aires,0.5599,0.734,334.89,Austroeupatorium inulifolium,49
Chascomús,Buenos Aires,0.5488,0.797,1100.53,Austroeupatorium inulifolium,50
Mercedes,Buenos Aires,0.5325,0.692,284.62,Austroeupatorium inulifolium,51
Navarro,Buenos Aires,0.5283,0.674,317.37,Austroeupatorium inulifolium,52
General Viamonte,Buenos Aires,0.5269,0.673,229.62,Austroeupatorium inulifolium,53
Nueve de Julio,Buenos Aires,0.5203,0.679,171.55,Austroeupatorium inulifolium,54
Salto,Buenos Aires,0.5167,0.607,3.55,Austroeupatorium inulifolium,55
Colón,Buenos Aires,0.5123,0.646,41.44,Austroeupatorium inulifolium,56
Carmen de Areco,Buenos Aires,0.4997,0.602,0.71,Austroeupatorium inulifolium,57
Junín,Buenos Aires,0.4991,0.762,218.55,Austroeupatorium inulifolium,58
General Belgrano,Buenos Aires,0.4891,0.694,130.38,Austroeupatorium inulifolium,59
