partido,provincia,idoneidad_media,idoneidad_maxima,area_alta_idoneidad_km2,species,rango
Quilmes,Buenos Aires,0.8989,0.934,95.95,Ceiba speciosa,1
General San Martín,Buenos Aires,0.8951,0.93,57.27,Ceiba speciosa,2
San Isidro,Buenos Aires,0.8903,0.928,53.07,Ceiba speciosa,3
Vicente López,Buenos Aires,0.8859,0.921,36.78,Ceiba speciosa,4
Tres de Febrero,Buenos Aires,0.8805,0.921,43.81,Ceiba speciosa,5
San Fernando (2),Buenos Aires,0.8799,0.92,26.19,Ceiba speciosa,6
Lomas de Zamora,Buenos Aires,0.8783,0.922,88.17,Ceiba speciosa,7
Lanús,Buenos Aires,0.8719,0.906,47.99,Ceiba speciosa,8
Morón,Buenos Aires,0.8713,0.923,130.68,Ceiba speciosa,9
Almirante Brown,Buenos Aires,0.8674,0.924,127.54,Ceiba speciosa,10
General Sarmiento,Buenos Aires,0.8586,0.928,203.71,Ceiba speciosa,11
Avellaneda,Buenos Aires,0.8553,0.905,60.01,Ceiba speciosa,12
Berazategui,Buenos Aires,0.8518,0.934,224.13,Ceiba speciosa,13
Florencio Varela,Buenos Aires,0.8368,0.925,203.54,Ceiba speciosa,14
Tigre,Buenos Aires,0.8276,0.93,403.1,Ceiba speciosa,15
La Plata,Buenos Aires,0.8199,0.927,870.65,Ceiba speciosa,16
Escobar,Buenos Aires,0.8028,0.912,281.42,Ceiba speciosa,17
Ensenada,Buenos Aires,0.7979,0.913,109.22,Ceiba speciosa,18
La Matanza,Buenos Aires,0.7959,0.914,302.55,Ceiba speciosa,19
Moreno,Buenos Aires,0.7852,0.895,175.22,Ceiba speciosa,20
San Fernando (1),Buenos Aires,0.7842,0.888,949.77,Ceiba speciosa,21
Berisso,Buenos Aires,0.7805,0.92,150.67,Ceiba speciosa,22
Merlo,Buenos Aires,0.7709,0.895,157.38,Ceiba speciosa,23
Pilar,Buenos Aires,0.7506,0.891,339.08,Ceiba speciosa,24
Esteban Echeverría,Buenos Aires,0.7468,0.909,329.71,Ceiba speciosa,25
Brandsen,Buenos Aires,0.7251,0.876,1019.22,Ceiba speciosa,26
Campana,Buenos Aires,0.6967,0.898,735.24,Ceiba speciosa,27
Magdalena,Buenos Aires,0.6835,0.869,2869.9,Ceiba speciosa,28
San Vicente,Buenos Aires,0.6474,0.868,437.97,Ceiba speciosa,29
Exaltación de la Cruz,Buenos Aires,0.6284,0.858,397.85,Ceiba speciosa,30
Baradero,Buenos Aires,0.6077,0.846,853.55,Ceiba speciosa,31
San Antonio de Areco,Buenos Aires,0.5924,0.791,490.62,Ceiba speciosa,32
Zárate,Buenos Aires,0.5924,0.881,470.25,Ceiba speciosa,33
San Pedro,Buenos Aires,0.5899,0.86,736.79,Ceiba speciosa,34
Pinamar,Buenos Aires,0.5869,0.725,45.22,Ceiba speciosa,35
Marcos Paz,Buenos Aires,0.5712,0.804,152.92,Ceiba speciosa,36
Chascomús,Buenos Aires,0.5682,0.848,1576.08,Ceiba speciosa,37
Luján,Buenos Aires,0.5608,0.838,321.06,Ceiba speciosa,38
General Rodríguez,Buenos Aires,0.5568,0.797,123.6,Ceiba speciosa,39
Ramallo,Buenos Aires,0.5489,0.84,413.46,Ceiba speciosa,40
Arrecifes,Buenos Aires,0.5337,0.705,478.76,Ceiba speciosa,41
Capitán Sarmiento,Buenos Aires,0.5254,0.701,216.05,Ceiba speciosa,42
Cañuelas,Buenos Aires,0.5233,0.816,209.53,Ceiba speciosa,43
General Paz,Buenos Aires,0.5072,0.751,159.45,Ceiba speciosa,44
San Nicolás,Buenos Aires,0.5008,0.836,200.39,Ceiba speciosa,45
Salto,Buenos Aires,0.4598,0.677,168.26,Ceiba speciosa,46
Pergamino,Buenos Aires,0.4516,0.675,284.69,Ceiba speciosa,47
La Costa,Buenos Aires,0.4462,0.726,117.05,Ceiba speciosa,48
Castelli,Buenos Aires,0.4435,0.74,199.42,Ceiba speciosa,49
Villa Gesell,Buenos Aires,0.4394,0.742,55.98,Ceiba speciosa,50
