partido,provincia,idoneidad_media,idoneidad_maxima,area_alta_idoneidad_km2,species,rango
Quilmes,Buenos Aires,0.9009,0.915,95.95,Celtis tala,1
Ensenada,Buenos Aires,0.8993,0.921,109.22,Celtis tala,2
Berazategui,Buenos Aires,0.8961,0.917,224.13,Celtis tala,3
La Plata,Buenos Aires,0.8957,0.919,871.35,Celtis tala,4
Berisso,Buenos Aires,0.8904,0.917,150.67,Celtis tala,5
Almirante Brown,Buenos Aires,0.8878,0.907,127.54,Celtis tala,6
General Sarmiento,Buenos Aires,0.8863,0.918,203.71,Celtis tala,7
Avellaneda,Buenos Aires,0.8854,0.914,60.01,Celtis tala,8
Lomas de Zamora,Buenos Aires,0.8837,0.909,88.17,Celtis tala,9
San Isidro,Buenos Aires,0.8829,0.908,53.07,Celtis tala,10
Vicente López,Buenos Aires,0.882,0.908,36.78,Celtis tala,11
Florencio Varela,Buenos Aires,0.8817,0.911,203.54,Celtis tala,12
Tigre,Buenos Aires,0.8783,0.914,403.1,Celtis tala,13
Escobar,Buenos Aires,0.873,0.912,294.89,Celtis tala,14
Moreno,Buenos Aires,0.8668,0.91,186.52,Celtis tala,15
Lanús,Buenos Aires,0.8635,0.904,47.99,Celtis tala,16
Morón,Buenos Aires,0.8619,0.909,130.68,Celtis tala,17
Brandsen,Buenos Aires,0.8584,0.91,1136.29,Celtis tala,18
San Fernando (2),Buenos Aires,0.8581,0.902,26.19,Celtis tala,19
Magdalena,Buenos Aires,0.8484,0.915,3537.43,Celtis tala,20
General San Martín,Buenos Aires,0.8474,0.899,57.27,Celtis tala,21
Merlo,Buenos Aires,0.8462,0.905,170.78,Celtis tala,22
Tres de Febrero,Buenos Aires,0.8401,0.893,43.81,Celtis tala,23
Pilar,Buenos Aires,0.8255,0.907,378.01,Celtis tala,24
Campana,Buenos Aires,0.8165,0.897,996.06,Celtis tala,25
Pinamar,Buenos Aires,0.8156,0.841,70.56,Celtis tala,26
La Matanza,Buenos Aires,0.8116,0.902,318.05,Celtis tala,27
San Fernando (1),Buenos Aires,0.8063,0.899,1020.83,Celtis tala,28
