partido,provincia,idoneidad_media,idoneidad_maxima,area_alta_idoneidad_km2,species,rango
Quilmes,Buenos Aires,0.9073,0.922,95.95,Duranta erecta,1
San Isidro,Buenos Aires,0.8997,0.915,53.07,Duranta erecta,2
General San Martín,Buenos Aires,0.899,0.914,57.27,Duranta erecta,3
Vicente López,Buenos Aires,0.8949,0.907,36.78,Duranta erecta,4
Lomas de Zamora,Buenos Aires,0.8938,0.915,88.17,Duranta erecta,5
Tres de Febrero,Buenos Aires,0.8926,0.911,43.81,Duranta erecta,6
Lanús,Buenos Aires,0.8925,0.907,47.99,Duranta erecta,7
San Fernando (2),Buenos Aires,0.8924,0.908,26.19,Duranta erecta,8
Berazategui,Buenos Aires,0.8909,0.92,224.13,Duranta erecta,9
Avellaneda,Buenos Aires,0.8871,0.908,60.01,Duranta erecta,10
Almirante Brown,Buenos Aires,0.8867,0.91,127.54,Duranta erecta,11
Morón,Buenos Aires,0.8861,0.91,130.68,Duranta erecta,12
Ensenada,Buenos Aires,0.88,0.906,109.22,Duranta erecta,13
Tigre,Buenos Aires,0.8736,0.909,403.1,Duranta erecta,14
General Sarmiento,Buenos Aires,0.8719,0.908,203.71,Duranta erecta,15
Florencio Varela,Buenos Aires,0.8719,0.919,203.54,Duranta erecta,16
Berisso,Buenos Aires,0.8572,0.903,150.67,Duranta erecta,17
La Plata,Buenos Aires,0.8542,0.914,871.35,Duranta erecta,18
San Fernando (1),Buenos Aires,0.8522,0.911,1020.83,Duranta erecta,19
Escobar,Buenos Aires,0.8433,0.892,294.89,Duranta erecta,20
Moreno,Buenos Aires,0.8252,0.886,186.52,Duranta erecta,21
Esteban Echeverría,Buenos Aires,0.8208,0.907,388.13,Duranta erecta,22
Merlo,Buenos Aires,0.8159,0.896,170.78,Duranta erecta,23
La Matanza,Buenos Aires,0.81,0.901,318.76,Duranta erecta,24
Pilar,Buenos Aires,0.7948,0.891,376.6,Duranta erecta,25
Campana,Buenos Aires,0.7764,0.877,986.82,Duranta erecta,26
Brandsen,Buenos Aires,0.7594,0.871,1127.88,Duranta erecta,27
San Vicente,Buenos Aires,0.7521,0.87,705.63,Duranta erecta,28
Pinamar,Buenos Aires,0.721,0.759,69.87,Duranta erecta,29
Magdalena,Buenos Aires,0.7175,0.873,3237.77,Duranta erecta,30
Zárate,Buenos Aires,0.6745,0.859,969.97,Duranta erecta,31
Exaltación de la Cruz,Buenos Aires,0.6633,0.816,562.35,Duranta erecta,32
General Rodríguez,Buenos Aires,0.643,0.779,268.39,Duranta erecta,33
Marcos Paz,Buenos Aires,0.6397,0.792,350.31,Duranta erecta,34
Baradero,Buenos Aires,0.6336,0.837,1063.28,Duranta erecta,35
San Pedro,Buenos Aires,0.6144,0.838,853.33,Duranta erecta,36
Luján,Buenos Aires,0.6098,0.777,475.95,Duranta erecta,37
Ramallo,Buenos Aires,0.6089,0.795,623.74,Duranta erecta,38
San Nicolás,Buenos Aires,0.5835,0.754,287.79,Duranta erecta,39
Cañuelas,Buenos Aires,0.5806,0.799,557.22,Duranta erecta,40
San Antonio de Areco,Buenos Aires,0.5794,0.742,399.16,Duranta erecta,41
La Costa,Buenos Aires,0.5611,0.754,169.3,Duranta erecta,42
Chascomús,Buenos Aires,0.5471,0.797,1193.01,Duranta erecta,43
General Paz,Buenos Aires,0.5348,0.747,261.15,Duranta erecta,44
General Las Heras,Buenos Aires,0.5141,0.727,119.66,Duranta erecta,45
Villa Gesell,Buenos Aires,0.5102,0.743,75.12,Duranta erecta,46
Capitán Sarmiento,Buenos Aires,0.4964,0.657,61.85,Duranta erecta,47
Arrecifes,Buenos Aires,0.4956,0.671,47.68,Duranta erecta,48
