partido,provincia,idoneidad_media,idoneidad_maxima,area_alta_idoneidad_km2,species,rango
San Fernando (2),Buenos Aires,0.801,0.831,26.19,Erythrina crista-galli,1
General San Martín,Buenos Aires,0.7987,0.83,57.27,Erythrina crista-galli,2
San Isidro,Buenos Aires,0.7987,0.833,53.07,Erythrina crista-galli,3
Vicente López,Buenos Aires,0.7945,0.828,36.78,Erythrina crista-galli,4
Tres de Febrero,Buenos Aires,0.7925,0.818,43.81,Erythrina crista-galli,5
Quilmes,Buenos Aires,0.7913,0.817,95.95,Erythrina crista-galli,6
Tigre,Buenos Aires,0.7876,0.84,403.1,Erythrina crista-galli,7
Lanús,Buenos Aires,0.7806,0.812,47.99,Erythrina crista-galli,8
General Sarmiento,Buenos Aires,0.7802,0.83,203,Erythrina crista-galli,9
Avellaneda,Buenos Aires,0.7797,0.812,60.01,Erythrina crista-galli,10
Lomas de Zamora,Buenos Aires,0.7796,0.807,88.17,Erythrina crista-galli,11
San Fernando (1),Buenos Aires,0.7777,0.83,1017.28,Erythrina crista-galli,12
Morón,Buenos Aires,0.7773,0.82,130.68,Erythrina crista-galli,13
Almirante Brown,Buenos Aires,0.7609,0.813,124.02,Erythrina crista-galli,14
Berazategui,Buenos Aires,0.7588,0.823,219.91,Erythrina crista-galli,15
Florencio Varela,Buenos Aires,0.7581,0.806,202.84,Erythrina crista-galli,16
Escobar,Buenos Aires,0.758,0.822,288.51,Erythrina crista-galli,17
Ensenada,Buenos Aires,0.756,0.794,109.22,Erythrina crista-galli,18
Moreno,Buenos Aires,0.7397,0.811,184.41,Erythrina crista-galli,19
Berisso,Buenos Aires,0.7253,0.795,145.04,Erythrina crista-galli,20
Merlo,Buenos Aires,0.7252,0.802,162.31,Erythrina crista-galli,21
La Plata,Buenos Aires,0.7199,0.8,853.06,Erythrina crista-galli,22
La Matanza,Buenos Aires,0.7158,0.815,302.55,Erythrina crista-galli,23
Esteban Echeverría,Buenos Aires,0.7129,0.8,379.67,Erythrina crista-galli,24
Campana,Buenos Aires,0.7076,0.791,925.76,Erythrina crista-galli,25
Pilar,Buenos Aires,0.7071,0.796,361.03,Erythrina crista-galli,26
San Vicente,Buenos Aires,0.6835,0.765,689.48,Erythrina crista-galli,27
Brandsen,Buenos Aires,0.6211,0.74,878.49,Erythrina crista-galli,28
Zárate,Buenos Aires,0.6119,0.79,769.72,Erythrina crista-galli,29
Marcos Paz,Buenos Aires,0.5517,0.703,191.04,Erythrina crista-galli,30
General Rodríguez,Buenos Aires,0.5345,0.729,156.84,Erythrina crista-galli,31
Cañuelas,Buenos Aires,0.5069,0.696,328.94,Erythrina crista-galli,32
Exaltación de la Cruz,Buenos Aires,0.4974,0.748,113.41,Erythrina crista-galli,33
Baradero,Buenos Aires,0.4877,0.81,325.96,Erythrina crista-galli,34
Carlos Casares,Buenos Aires,0.4787,0.628,23.69,Erythrina crista-galli,35
Lincoln,Buenos Aires,0.4494,0.613,4.23,Erythrina crista-galli,36
San Pedro,Buenos Aires,0.4434,0.791,193.57,Erythrina crista-galli,37
Luján,Buenos Aires,0.4346,0.687,56.59,Erythrina crista-galli,38
Magdalena,Buenos Aires,0.4151,0.733,628.36,Erythrina crista-galli,39
Nueve de Julio,Buenos Aires,0.4069,0.627,29.33,Erythrina crista-galli,40
Ramallo,Buenos Aires,0.3944,0.775,161.78,Erythrina crista-galli,41
San Antonio de Areco,Buenos Aires,0.3905,0.608,3.56,Erythrina crista-galli,42
General Pinto,Buenos Aires,0.3857,0.617,0.71,Erythrina crista-galli,43
General Viamonte,Buenos Aires,0.3769,0.6,0.7,Erythrina crista-galli,44
