partido,provincia,idoneidad_media,idoneidad_maxima,area_alta_idoneidad_km2,species,rango
Quilmes,Buenos Aires,0.8815,0.917,95.95,Jacaranda mimosifolia,1
Vicente López,Buenos Aires,0.8772,0.906,36.78,Jacaranda mimosifolia,2
General San Martín,Buenos Aires,0.8766,0.905,57.27,Jacaranda mimosifolia,3
San Isidro,Buenos Aires,0.8766,0.905,53.07,Jacaranda mimosifolia,4
San Fernando (2),Buenos Aires,0.8657,0.9,26.19,Jacaranda mimosifolia,5
Tres de Febrero,Buenos Aires,0.862,0.898,43.81,Jacaranda mimosifolia,6
Lomas de Zamora,Buenos Aires,0.8577,0.895,88.17,Jacaranda mimosifolia,7
Lanús,Buenos Aires,0.8552,0.885,47.99,Jacaranda mimosifolia,8
Berazategui,Buenos Aires,0.8509,0.914,224.13,Jacaranda mimosifolia,9
Morón,Buenos Aires,0.8484,0.898,130.68,Jacaranda mimosifolia,10
Avellaneda,Buenos Aires,0.8482,0.887,60.01,Jacaranda mimosifolia,11
Almirante Brown,Buenos Aires,0.8463,0.901,127.54,Jacaranda mimosifolia,12
La Plata,Buenos Aires,0.8302,0.909,871.35,Jacaranda mimosifolia,13
Ensenada,Buenos Aires,0.8293,0.897,109.22,Jacaranda mimosifolia,14
General Sarmiento,Buenos Aires,0.8247,0.904,203.71,Jacaranda mimosifolia,15
Florencio Varela,Buenos Aires,0.8246,0.905,203.54,Jacaranda mimosifolia,16
Berisso,Buenos Aires,0.8189,0.902,150.67,Jacaranda mimosifolia,17
Tigre,Buenos Aires,0.8104,0.906,403.1,Jacaranda mimosifolia,18
La Matanza,Buenos Aires,0.7806,0.895,308.19,Jacaranda mimosifolia,19
San Fernando (1),Buenos Aires,0.7746,0.885,971.8,Jacaranda mimosifolia,20
Escobar,Buenos Aires,0.7725,0.873,286.38,Jacaranda mimosifolia,21
Merlo,Buenos Aires,0.7625,0.86,167.25,Jacaranda mimosifolia,22
Moreno,Buenos Aires,0.762,0.87,183.7,Jacaranda mimosifolia,23
Esteban Echeverría,Buenos Aires,0.7489,0.896,361.39,Jacaranda mimosifolia,24
Brandsen,Buenos Aires,0.7455,0.861,1097.75,Jacaranda mimosifolia,25
Pilar,Buenos Aires,0.7036,0.84,341.91,Jacaranda mimosifolia,26
San Vicente,Buenos Aires,0.6842,0.84,570.05,Jacaranda mimosifolia,27
Campana,Buenos Aires,0.6764,0.845,795.66,Jacaranda mimosifolia,28
Magdalena,Buenos Aires,0.6549,0.857,2797.04,Jacaranda mimosifolia,29
Zárate,Buenos Aires,0.5706,0.828,449.08,Jacaranda mimosifolia,30
Marcos Paz,Buenos Aires,0.5648,0.742,172.66,Jacaranda mimosifolia,31
San Pedro,Buenos Aires,0.5592,0.809,366.87,Jacaranda mimosifolia,32
Baradero,Buenos Aires,0.5573,0.779,435.33,Jacaranda mimosifolia,33
Ramallo,Buenos Aires,0.5541,0.815,289.12,Jacaranda mimosifolia,34
Exaltación de la Cruz,Buenos Aires,0.5484,0.768,167.32,Jacaranda mimosifolia,35
Pergamino,Buenos Aires,0.5454,0.701,907.31,Jacaranda mimosifolia,36
General Rodríguez,Buenos Aires,0.5445,0.721,109.49,Jacaranda mimosifolia,37
Chascomús,Buenos Aires,0.5444,0.719,915.48,Jacaranda mimosifolia,38
Pinamar,Buenos Aires,0.5428,0.611,26.03,Jacaranda mimosifolia,39
