partido,provincia,idoneidad_media,idoneidad_maxima,area_alta_idoneidad_km2,species,rango
Quilmes,Buenos Aires,0.8914,0.913,95.95,Passiflora caerulea,1
Vicente López,Buenos Aires,0.8899,0.907,36.78,Passiflora caerulea,2
San Isidro,Buenos Aires,0.8845,0.904,53.07,Passiflora caerulea,3
General San Martín,Buenos Aires,0.8828,0.904,57.27,Passiflora caerulea,4
San Fernando (2),Buenos Aires,0.8807,0.898,26.19,Passiflora caerulea,5
Avellaneda,Buenos Aires,0.8781,0.897,60.01,Passiflora caerulea,6
Tres de Febrero,Buenos Aires,0.8756,0.894,43.81,Passiflora caerulea,7
Lanús,Buenos Aires,0.8747,0.893,47.99,Passiflora caerulea,8
Berazategui,Buenos Aires,0.8742,0.91,224.13,Passiflora caerulea,9
Lomas de Zamora,Buenos Aires,0.8738,0.896,88.17,Passiflora caerulea,10
Tigre,Buenos Aires,0.8705,0.903,403.1,Passiflora caerulea,11
Almirante Brown,Buenos Aires,0.868,0.899,127.54,Passiflora caerulea,12
San Fernando (1),Buenos Aires,0.8652,0.901,1020.83,Passiflora caerulea,13
General Sarmiento,Buenos Aires,0.8646,0.9,203.71,Passiflora caerulea,14
Morón,Buenos Aires,0.8641,0.893,130.68,Passiflora caerulea,15
Ensenada,Buenos Aires,0.8625,0.899,109.22,Passiflora caerulea,16
Florencio Varela,Buenos Aires,0.8583,0.902,203.54,Passiflora caerulea,17
Escobar,Buenos Aires,0.8512,0.897,294.89,Passiflora caerulea,18
Berisso,Buenos Aires,0.8497,0.896,150.67,Passiflora caerulea,19
La Plata,Buenos Aires,0.8486,0.903,871.35,Passiflora caerulea,20
Moreno,Buenos Aires,0.8485,0.884,186.52,Passiflora caerulea,21
La Matanza,Buenos Aires,0.8421,0.897,321.57,Passiflora caerulea,22
Merlo,Buenos Aires,0.8356,0.874,170.78,Passiflora caerulea,23
Campana,Buenos Aires,0.8242,0.887,996.06,Passiflora caerulea,24
Esteban Echeverría,Buenos Aires,0.8207,0.897,390.24,Passiflora caerulea,25
Pilar,Buenos Aires,0.8177,0.878,378.01,Passiflora caerulea,26
Brandsen,Buenos Aires,0.8047,0.865,1136.29,Passiflora caerulea,27
San Vicente,Buenos Aires,0.8041,0.866,737.22,Passiflora caerulea,28
Magdalena,Buenos Aires,0.773,0.874,3530.45,Passiflora caerulea,29
Marcos Paz,Buenos Aires,0.7551,0.831,427.13,Passiflora caerulea,30
Zárate,Buenos Aires,0.7525,0.888,1212.67,Passiflora caerulea,31
General Rodríguez,Buenos Aires,0.7417,0.843,362.99,Passiflora caerulea,32
Cañuelas,Buenos Aires,0.7328,0.829,1162.59,Passiflora caerulea,33
General Paz,Buenos Aires,0.7238,0.809,1142.73,Passiflora caerulea,34
Chascomús,Buenos Aires,0.7222,0.834,4106.96,Passiflora caerulea,35
General Viamonte,Buenos Aires,0.7136,0.81,2009.31,Passiflora caerulea,36
Lincoln,Buenos Aires,0.7107,0.805,5380.38,Passiflora caerulea,37
Carlos Casares,Buenos Aires,0.7097,0.801,2379.42,Passiflora caerulea,38
Nueve de Julio,Buenos Aires,0.7089,0.818,4034.41,Passiflora caerulea,39
Junín,Buenos Aires,0.7052,0.853,2103.64,Passiflora caerulea,40
Exaltación de la Cruz,Buenos Aires,0.7032,0.849,623.35,Passiflora caerulea,41
Bragado,Buenos Aires,0.6879,0.805,2008.65,Passiflora caerulea,42
General Pinto,Buenos Aires,0.6868,0.807,2340.02,Passiflora caerulea,43
Leandro N. Alem,Buenos Aires,0.6859,0.791,1462.43,Passiflora caerulea,44
Colón,Buenos Aires,0.683,0.782,880.84,Passiflora caerulea,45
Pinamar,Buenos Aires,0.6806,0.779,54.79,Passiflora caerulea,46
General Arenales,Buenos Aires,0.6776,0.836,1364.7,Passiflora caerulea,47
Monte,Buenos Aires,0.6768,0.828,1621.56,Passiflora caerulea,48
San Nicolás,Buenos Aires,0.6768,0.832,626.4,Passiflora caerulea,49
Ramallo,Buenos Aires,0.6706,0.85,937.46,Passiflora caerulea,50
General Las Heras,Buenos Aires,0.6696,0.771,664.6,Passiflora caerulea,51
