partido,provincia,idoneidad_media,idoneidad_maxima,area_alta_idoneidad_km2,species,rango
Vicente López,Buenos Aires,0.8942,0.914,36.78,Phytolacca dioica,1
San Isidro,Buenos Aires,0.8933,0.911,53.07,Phytolacca dioica,2
Quilmes,Buenos Aires,0.8928,0.92,95.95,Phytolacca dioica,3
General San Martín,Buenos Aires,0.8903,0.909,57.27,Phytolacca dioica,4
San Fernando (2),Buenos Aires,0.8836,0.91,26.19,Phytolacca dioica,5
Tres de Febrero,Buenos Aires,0.8781,0.903,43.81,Phytolacca dioica,6
Lanús,Buenos Aires,0.8778,0.895,47.99,Phytolacca dioica,7
Avellaneda,Buenos Aires,0.876,0.901,60.01,Phytolacca dioica,8
Lomas de Zamora,Buenos Aires,0.8732,0.896,88.17,Phytolacca dioica,9
Morón,Buenos Aires,0.8666,0.904,130.68,Phytolacca dioica,10
Berazategui,Buenos Aires,0.8606,0.914,224.13,Phytolacca dioica,11
Tigre,Buenos Aires,0.8573,0.909,403.1,Phytolacca dioica,12
General Sarmiento,Buenos Aires,0.8545,0.906,203.71,Phytolacca dioica,13
Almirante Brown,Buenos Aires,0.8498,0.904,127.54,Phytolacca dioica,14
Ensenada,Buenos Aires,0.8479,0.892,109.22,Phytolacca dioica,15
Berisso,Buenos Aires,0.8311,0.895,150.67,Phytolacca dioica,16
San Fernando (1),Buenos Aires,0.8304,0.891,1020.83,Phytolacca dioica,17
Escobar,Buenos Aires,0.8287,0.884,294.89,Phytolacca dioica,18
Florencio Varela,Buenos Aires,0.8268,0.899,203.54,Phytolacca dioica,19
Moreno,Buenos Aires,0.826,0.873,186.52,Phytolacca dioica,20
La Matanza,Buenos Aires,0.8185,0.898,321.57,Phytolacca dioica,21
La Plata,Buenos Aires,0.8142,0.9,871.35,Phytolacca dioica,22
Merlo,Buenos Aires,0.8131,0.87,170.78,Phytolacca dioica,23
Pilar,Buenos Aires,0.8039,0.869,378.01,Phytolacca dioica,24
Esteban Echeverría,Buenos Aires,0.7911,0.884,390.24,Phytolacca dioica,25
Campana,Buenos Aires,0.7858,0.871,995.35,Phytolacca dioica,26
Magdalena,Buenos Aires,0.749,0.86,3504.62,Phytolacca dioica,27
Brandsen,Buenos Aires,0.7411,0.825,1136.29,Phytolacca dioica,28
San Vicente,Buenos Aires,0.7375,0.824,738.63,Phytolacca dioica,29
Zárate,Buenos Aires,0.713,0.862,1170,Phytolacca dioica,30
Pinamar,Buenos Aires,0.704,0.756,70.56,Phytolacca dioica,31
Exaltación de la Cruz,Buenos Aires,0.6959,0.837,592.85,Phytolacca dioica,32
Marcos Paz,Buenos Aires,0.6895,0.793,406.69,Phytolacca dioica,33
General Rodríguez,Buenos Aires,0.6753,0.801,320.64,Phytolacca dioica,34
Baradero,Buenos Aires,0.6565,0.827,1240.71,Phytolacca dioica,35
Cañuelas,Buenos Aires,0.6563,0.791,987.21,Phytolacca dioica,36
Luján,Buenos Aires,0.6529,0.817,538.85,Phytolacca dioica,37
