partido,provincia,idoneidad_media,idoneidad_maxima,area_alta_idoneidad_km2,species,rango
Quilmes,Buenos Aires,0.8909,0.929,95.95,Salpichroa origanifolia,1
General San Martín,Buenos Aires,0.8822,0.914,57.27,Salpichroa origanifolia,2
Vicente López,Buenos Aires,0.8769,0.911,36.78,Salpichroa origanifolia,3
San Isidro,Buenos Aires,0.8768,0.913,53.07,Salpichroa origanifolia,4
Tres de Febrero,Buenos Aires,0.8735,0.907,43.81,Salpichroa origanifolia,5
Lomas de Zamora,Buenos Aires,0.8724,0.906,88.17,Salpichroa origanifolia,6
Lanús,Buenos Aires,0.8667,0.9,47.99,Salpichroa origanifolia,7
San Fernando (2),Buenos Aires,0.8661,0.907,26.19,Salpichroa origanifolia,8
Berazategui,Buenos Aires,0.8601,0.923,223.43,Salpichroa origanifolia,9
Avellaneda,Buenos Aires,0.8601,0.896,60.01,Salpichroa origanifolia,10
Almirante Brown,Buenos Aires,0.858,0.913,127.54,Salpichroa origanifolia,11
Morón,Buenos Aires,0.8566,0.907,130.68,Salpichroa origanifolia,12
Florencio Varela,Buenos Aires,0.8496,0.914,203.54,Salpichroa origanifolia,13
Tigre,Buenos Aires,0.8457,0.918,402.39,Salpichroa origanifolia,14
General Sarmiento,Buenos Aires,0.8443,0.912,203,Salpichroa origanifolia,15
La Plata,Buenos Aires,0.8411,0.917,867.83,Salpichroa origanifolia,16
Ensenada,Buenos Aires,0.8373,0.897,109.22,Salpichroa origanifolia,17
La Matanza,Buenos Aires,0.826,0.906,317.34,Salpichroa origanifolia,18
San Fernando (1),Buenos Aires,0.8221,0.898,1016.57,Salpichroa origanifolia,19
Moreno,Buenos Aires,0.812,0.878,185.11,Salpichroa origanifolia,20
Escobar,Buenos Aires,0.8087,0.885,290.64,Salpichroa origanifolia,21
Esteban Echeverría,Buenos Aires,0.8067,0.906,386.02,Salpichroa origanifolia,22
Merlo,Buenos Aires,0.8039,0.874,168.66,Salpichroa origanifolia,23
Brandsen,Buenos Aires,0.8034,0.874,1120.86,Salpichroa origanifolia,24
Berisso,Buenos Aires,0.7912,0.893,147.86,Salpichroa origanifolia,25
