partido,provincia,idoneidad_media,idoneidad_maxima,area_alta_idoneidad_km2,species,rango
Quilmes,Buenos Aires,0.897,0.915,95.95,Solanum pseudocapsicum,1
General San Martín,Buenos Aires,0.897,0.913,57.27,Solanum pseudocapsicum,2
San Isidro,Buenos Aires,0.8962,0.915,53.07,Solanum pseudocapsicum,3
Vicente López,Buenos Aires,0.8948,0.917,36.78,Solanum pseudocapsicum,4
San Fernando (2),Buenos Aires,0.8931,0.909,26.19,Solanum pseudocapsicum,5
Tres de Febrero,Buenos Aires,0.8894,0.908,43.81,Solanum pseudocapsicum,6
Lanús,Buenos Aires,0.8876,0.903,47.99,Solanum pseudocapsicum,7
Lomas de Zamora,Buenos Aires,0.8865,0.908,88.17,Solanum pseudocapsicum,8
Avellaneda,Buenos Aires,0.8821,0.902,60.01,Solanum pseudocapsicum,9
Berazategui,Buenos Aires,0.8809,0.92,224.13,Solanum pseudocapsicum,10
Morón,Buenos Aires,0.8808,0.909,130.68,Solanum pseudocapsicum,11
Ensenada,Buenos Aires,0.8744,0.916,109.22,Solanum pseudocapsicum,12
Almirante Brown,Buenos Aires,0.8741,0.901,127.54,Solanum pseudocapsicum,13
Tigre,Buenos Aires,0.8732,0.904,403.1,Solanum pseudocapsicum,14
General Sarmiento,Buenos Aires,0.8726,0.904,203.71,Solanum pseudocapsicum,15
Florencio Varela,Buenos Aires,0.8705,0.91,203.54,Solanum pseudocapsicum,16
La Plata,Buenos Aires,0.8701,0.912,871.35,Solanum pseudocapsicum,17
San Fernando (1),Buenos Aires,0.8653,0.904,1020.83,Solanum pseudocapsicum,18
Escobar,Buenos Aires,0.862,0.901,294.89,Solanum pseudocapsicum,19
Moreno,Buenos Aires,0.8598,0.886,186.52,Solanum pseudocapsicum,20
Merlo,Buenos Aires,0.8575,0.895,170.78,Solanum pseudocapsicum,21
La Matanza,Buenos Aires,0.8564,0.901,321.57,Solanum pseudocapsicum,22
Berisso,Buenos Aires,0.8555,0.898,150.67,Solanum pseudocapsicum,23
Esteban Echeverría,Buenos Aires,0.8543,0.912,390.24,Solanum pseudocapsicum,24
Pilar,Buenos Aires,0.8515,0.896,378.01,Solanum pseudocapsicum,25
Campana,Buenos Aires,0.8429,0.893,996.06,Solanum pseudocapsicum,26
Brandsen,Buenos Aires,0.8385,0.883,1136.29,Solanum pseudocapsicum,27
San Vicente,Buenos Aires,0.8273,0.872,738.63,Solanum pseudocapsicum,28
Marcos Paz,Buenos Aires,0.8085,0.859,429.95,Solanum pseudocapsicum,29
General Rodríguez,Buenos Aires,0.8064,0.856,372.88,Solanum pseudocapsicum,30
Zárate,Buenos Aires,0.7948,0.888,1225.47,Solanum pseudocapsicum,31
General Paz,Buenos Aires,0.79,0.846,1189.55,Solanum pseudocapsicum,32
Exaltación de la Cruz,Buenos Aires,0.7893,0.864,641.79,Solanum pseudocapsicum,33
Cañuelas,Buenos Aires,0.7831,0.857,1195.58,Solanum pseudocapsicum,34
Luján,Buenos Aires,0.7735,0.852,771.92,Solanum pseudocapsicum,35
General Las Heras,Buenos Aires,0.7721,0.83,751.21,Solanum pseudocapsicum,36
Nueve de Julio,Buenos Aires,0.7645,0.838,4284.68,Solanum pseudocapsicum,37
Pinamar,Buenos Aires,0.76,0.869,70.56,Solanum pseudocapsicum,38
Magdalena,Buenos Aires,0.7584,0.888,3380.21,Solanum pseudocapsicum,39
Monte,Buenos Aires,0.7574,0.847,1878.06,Solanum pseudocapsicum,40
General Viamonte,Buenos Aires,0.7557,0.826,2156.38,Solanum pseudocapsicum,41
Chascomús,Buenos Aires,0.7473,0.872,3793.17,Solanum pseudocapsicum,42
Lobos,Buenos Aires,0.7324,0.818,1736.02,Solanum pseudocapsicum,43
Bragado,Buenos Aires,0.7293,0.829,2153.96,Solanum pseudocapsicum,44
San Nicolás,Buenos Aires,0.7282,0.855,661.47,Solanum pseudocapsicum,45
Baradero,Buenos Aires,0.722,0.86,1521.22,Solanum pseudocapsicum,46
Carlos Casares,Buenos Aires,0.7211,0.831,2445.67,Solanum pseudocapsicum,47
Ramallo,Buenos Aires,0.7205,0.872,1086.09,Solanum pseudocapsicum,48
San Pedro,Buenos Aires,0.7091,0.877,1356.93,Solanum pseudocapsicum,49
Junín,Buenos Aires,0.7081,0.867,2045.55,Solanum pseudocapsicum,50
General Belgrano,Buenos Aires,0.6958,0.807,1784.23,Solanum pseudocapsicum,51
Veinticinco de Mayo,Buenos Aires,0.6825,0.792,4365.84,Solanum pseudocapsicum,52
Pila,Buenos Aires,0.6823,0.826,3325.86,Solanum pseudocapsicum,53
Pergamino,Buenos Aires,0.6768,0.795,2808.1,Solanum pseudocapsicum,54
Colón,Buenos Aires,0.6753,0.785,909.31,Solanum pseudocapsicum,55
Roque Pérez,Buenos Aires,0.6731,0.776,1487.2,Solanum pseudocapsicum,56
Navarro,Buenos Aires,0.6685,0.775,1365.89,Solanum pseudocapsicum,57
General Arenales,Buenos Aires,0.6619,0.85,1285.18,Solanum pseudocapsicum,58
Leandro N. Alem,Buenos Aires,0.66,0.797,1352.73,Solanum pseudocapsicum,59
Lincoln,Buenos Aires,0.6599,0.831,4401.85,Solanum pseudocapsicum,60
San Andrés de Giles,Buenos Aires,0.6586,0.788,883.68,Solanum pseudocapsicum,61
San Antonio de Areco,Buenos Aires,0.6484,0.785,729.1,Solanum pseudocapsicum,62
Alberti,Buenos Aires,0.6478,0.764,835.71,Solanum pseudocapsicum,63
Mercedes,Buenos Aires,0.6427,0.763,756.68,Solanum pseudocapsicum,64
Castelli,Buenos Aires,0.642,0.835,1197.21,Solanum pseudocapsicum,65
Rojas,Buenos Aires,0.6338,0.768,1532.4,Solanum pseudocapsicum,66
General Alvear,Buenos Aires,0.6298,0.737,2513.22,Solanum pseudocapsicum,67
Saladillo,Buenos Aires,0.629,0.788,2013.42,Solanum pseudocapsicum,68
Arrecifes,Buenos Aires,0.6255,0.733,916.69,Solanum pseudocapsicum,69
Las Flores,Buenos Aires,0.6246,0.743,2599.11,Solanum pseudocapsicum,70
General Pinto,Buenos Aires,0.609,0.839,1357.45,Solanum pseudocapsicum,71
