partido,provincia,idoneidad_media,idoneidad_maxima,area_alta_idoneidad_km2,species,rango
San Isidro,Buenos Aires,0.893,0.912,53.07,Syagrus romanzoffiana,1
San Fernando (2),Buenos Aires,0.8894,0.909,26.19,Syagrus romanzoffiana,2
Quilmes,Buenos Aires,0.8891,0.914,95.95,Syagrus romanzoffiana,3
Vicente López,Buenos Aires,0.8889,0.906,36.78,Syagrus romanzoffiana,4
General San Martín,Buenos Aires,0.8853,0.906,57.27,Syagrus romanzoffiana,5
Avellaneda,Buenos Aires,0.8704,0.895,60.01,Syagrus romanzoffiana,6
Lanús,Buenos Aires,0.8704,0.887,47.99,Syagrus romanzoffiana,7
Tres de Febrero,Buenos Aires,0.8691,0.89,43.81,Syagrus romanzoffiana,8
Berazategui,Buenos Aires,0.8635,0.914,224.13,Syagrus romanzoffiana,9
Tigre,Buenos Aires,0.8628,0.906,403.1,Syagrus romanzoffiana,10
Ensenada,Buenos Aires,0.859,0.894,109.22,Syagrus romanzoffiana,11
Lomas de Zamora,Buenos Aires,0.8509,0.888,88.17,Syagrus romanzoffiana,12
San Fernando (1),Buenos Aires,0.8436,0.905,1020.83,Syagrus romanzoffiana,13
Morón,Buenos Aires,0.839,0.887,130.68,Syagrus romanzoffiana,14
Almirante Brown,Buenos Aires,0.8362,0.893,127.54,Syagrus romanzoffiana,15
General Sarmiento,Buenos Aires,0.8343,0.895,203.71,Syagrus romanzoffiana,16
Berisso,Buenos Aires,0.8308,0.896,150.67,Syagrus romanzoffiana,17
Florencio Varela,Buenos Aires,0.8257,0.898,203.54,Syagrus romanzoffiana,18
Escobar,Buenos Aires,0.798,0.875,289.93,Syagrus romanzoffiana,19
La Plata,Buenos Aires,0.7812,0.903,865.74,Syagrus romanzoffiana,20
Moreno,Buenos Aires,0.7646,0.845,185.82,Syagrus romanzoffiana,21
Pilar,Buenos Aires,0.7435,0.849,373.76,Syagrus romanzoffiana,22
Campana,Buenos Aires,0.7283,0.86,944.21,Syagrus romanzoffiana,23
Merlo,Buenos Aires,0.7159,0.842,158.79,Syagrus romanzoffiana,24
Esteban Echeverría,Buenos Aires,0.6996,0.856,360.68,Syagrus romanzoffiana,25
La Matanza,Buenos Aires,0.6968,0.886,239.84,Syagrus romanzoffiana,26
San Vicente,Buenos Aires,0.6629,0.815,541.3,Syagrus romanzoffiana,27
Zárate,Buenos Aires,0.6537,0.834,897.68,Syagrus romanzoffiana,28
La Costa,Buenos Aires,0.6132,0.738,223.86,Syagrus romanzoffiana,29
General Rodríguez,Buenos Aires,0.601,0.731,191.45,Syagrus romanzoffiana,30
Exaltación de la Cruz,Buenos Aires,0.5991,0.801,327.53,Syagrus romanzoffiana,31
Brandsen,Buenos Aires,0.5958,0.817,555.99,Syagrus romanzoffiana,32
Pinamar,Buenos Aires,0.5758,0.681,40.43,Syagrus romanzoffiana,33
Magdalena,Buenos Aires,0.5721,0.831,1215.88,Syagrus romanzoffiana,34
Baradero,Buenos Aires,0.5709,0.816,740.64,Syagrus romanzoffiana,35
Luján,Buenos Aires,0.5613,0.755,239.75,Syagrus romanzoffiana,36
Marcos Paz,Buenos Aires,0.5247,0.709,46.55,Syagrus romanzoffiana,37
San Antonio de Areco,Buenos Aires,0.4589,0.728,161.97,Syagrus romanzoffiana,38
Cañuelas,Buenos Aires,0.4516,0.678,87.92,Syagrus romanzoffiana,39
General Lavalle,Buenos Aires,0.4302,0.667,137.51,Syagrus romanzoffiana,40
General Las Heras,Buenos Aires,0.4294,0.6,0.7,Syagrus romanzoffiana,41
San Pedro,Buenos Aires,0.4246,0.815,217.83,Syagrus romanzoffiana,42
Villa Gesell,Buenos Aires,0.4196,0.675,56.67,Syagrus romanzoffiana,43
Chascomús,Buenos Aires,0.4006,0.655,43.99,Syagrus romanzoffiana,44
San Andrés de Giles,Buenos Aires,0.3728,0.641,5.67,Syagrus romanzoffiana,45
Ramallo,Buenos Aires,0.3686,0.729,130.28,Syagrus romanzoffiana,46
General Paz,Buenos Aires,0.3563,0.559,0,Syagrus romanzoffiana,47
Mercedes,Buenos Aires,0.3501,0.597,0,Syagrus romanzoffiana,48
Castelli,Buenos Aires,0.3247,0.512,77.82,Syagrus romanzoffiana,49
General Juan Madariaga,Buenos Aires,0.3228,0.67,1.37,Syagrus romanzoffiana,50
Capitán Sarmiento,Buenos Aires,0.3126,0.438,0,Syagrus romanzoffiana,51
Tordillo,Buenos Aires,0.3098,0.53,24.23,Syagrus romanzoffiana,52
San Nicolás,Buenos Aires,0.2882,0.656,5.02,Syagrus romanzoffiana,53
Arrecifes,Buenos Aires,0.2844,0.427,0,Syagrus romanzoffiana,54
Carmen de Areco,Buenos Aires,0.2781,0.413,0,Syagrus romanzoffiana,55
Lobos,Buenos Aires,0.2759,0.536,0,Syagrus romanzoffiana,56
Navarro,Buenos Aires,0.2719,0.513,0,Syagrus romanzoffiana,57
Dolores,Buenos Aires,0.2566,0.417,0,Syagrus romanzoffiana,58
