partido,provincia,idoneidad_media,idoneidad_maxima,area_alta_idoneidad_km2,species,rango
General San Martín,Buenos Aires,0.8837,0.909,57.27,Tecoma stans,1
San Isidro,Buenos Aires,0.8829,0.908,53.07,Tecoma stans,2
Vicente López,Buenos Aires,0.8825,0.904,36.78,Tecoma stans,3
Quilmes,Buenos Aires,0.8819,0.914,95.95,Tecoma stans,4
San Fernando (2),Buenos Aires,0.8734,0.903,26.19,Tecoma stans,5
Tres de Febrero,Buenos Aires,0.8714,0.9,43.81,Tecoma stans,6
Lanús,Buenos Aires,0.8692,0.891,47.99,Tecoma stans,7
Lomas de Zamora,Buenos Aires,0.863,0.895,88.17,Tecoma stans,8
Avellaneda,Buenos Aires,0.8588,0.887,60.01,Tecoma stans,9
Morón,Buenos Aires,0.8587,0.902,130.68,Tecoma stans,10
Berazategui,Buenos Aires,0.8394,0.909,224.13,Tecoma stans,11
Almirante Brown,Buenos Aires,0.8377,0.899,127.54,Tecoma stans,12
General Sarmiento,Buenos Aires,0.8359,0.903,203.71,Tecoma stans,13
Tigre,Buenos Aires,0.8288,0.909,403.1,Tecoma stans,14
Ensenada,Buenos Aires,0.812,0.881,109.22,Tecoma stans,15
Florencio Varela,Buenos Aires,0.8078,0.895,203.54,Tecoma stans,16
San Fernando (1),Buenos Aires,0.7993,0.883,1017.28,Tecoma stans,17
Escobar,Buenos Aires,0.7952,0.869,294.89,Tecoma stans,18
Berisso,Buenos Aires,0.7807,0.882,150.67,Tecoma stans,19
Moreno,Buenos Aires,0.7802,0.869,186.52,Tecoma stans,20
Merlo,Buenos Aires,0.7769,0.87,170.78,Tecoma stans,21
La Matanza,Buenos Aires,0.7709,0.891,315.94,Tecoma stans,22
Esteban Echeverría,Buenos Aires,0.7491,0.88,380.39,Tecoma stans,23
Pilar,Buenos Aires,0.7452,0.839,373.06,Tecoma stans,24
Campana,Buenos Aires,0.7279,0.848,942.05,Tecoma stans,25
La Plata,Buenos Aires,0.721,0.89,820.09,Tecoma stans,26
San Vicente,Buenos Aires,0.6686,0.802,600.27,Tecoma stans,27
Zárate,Buenos Aires,0.6427,0.839,836.86,Tecoma stans,28
General Rodríguez,Buenos Aires,0.6259,0.753,253.56,Tecoma stans,29
Exaltación de la Cruz,Buenos Aires,0.617,0.793,426.91,Tecoma stans,30
Marcos Paz,Buenos Aires,0.6128,0.745,289.03,Tecoma stans,31
Luján,Buenos Aires,0.5808,0.736,294.17,Tecoma stans,32
Brandsen,Buenos Aires,0.5763,0.789,415.67,Tecoma stans,33
Baradero,Buenos Aires,0.5717,0.802,627.83,Tecoma stans,34
General Las Heras,Buenos Aires,0.5275,0.655,60.58,Tecoma stans,35
Magdalena,Buenos Aires,0.523,0.811,992.34,Tecoma stans,36
San Pedro,Buenos Aires,0.5093,0.841,364.9,Tecoma stans,37
Pinamar,Buenos Aires,0.5085,0.674,40.43,Tecoma stans,38
Ramallo,Buenos Aires,0.5036,0.824,289.89,Tecoma stans,39
Cañuelas,Buenos Aires,0.5034,0.733,281.96,Tecoma stans,40
San Nicolás,Buenos Aires,0.4741,0.793,62.39,Tecoma stans,41
San Antonio de Areco,Buenos Aires,0.4614,0.713,144.24,Tecoma stans,42
La Costa,Buenos Aires,0.4334,0.682,122.54,Tecoma stans,43
Chascomús,Buenos Aires,0.3667,0.692,13.26,Tecoma stans,44
Lobos,Buenos Aires,0.3657,0.565,0,Tecoma stans,45
