partido,provincia,idoneidad_media,idoneidad_maxima,area_alta_idoneidad_km2,species,rango
Quilmes,Buenos Aires,0.8878,0.922,95.95,Tipuana tipu,1
General San Martín,Buenos Aires,0.8855,0.914,57.27,Tipuana tipu,2
San Isidro,Buenos Aires,0.8851,0.915,53.07,Tipuana tipu,3
Vicente López,Buenos Aires,0.885,0.917,36.78,Tipuana tipu,4
San Fernando (2),Buenos Aires,0.875,0.907,26.19,Tipuana tipu,5
Lanús,Buenos Aires,0.8654,0.899,47.99,Tipuana tipu,6
Tres de Febrero,Buenos Aires,0.8648,0.896,43.81,Tipuana tipu,7
Lomas de Zamora,Buenos Aires,0.8532,0.9,88.17,Tipuana tipu,8
Avellaneda,Buenos Aires,0.8477,0.899,60.01,Tipuana tipu,9
Berazategui,Buenos Aires,0.8335,0.921,224.13,Tipuana tipu,10
Morón,Buenos Aires,0.8276,0.898,130.68,Tipuana tipu,11
Almirante Brown,Buenos Aires,0.8166,0.907,127.54,Tipuana tipu,12
Ensenada,Buenos Aires,0.8086,0.896,109.22,Tipuana tipu,13
Berisso,Buenos Aires,0.7889,0.901,150.67,Tipuana tipu,14
Florencio Varela,Buenos Aires,0.7805,0.902,203.54,Tipuana tipu,15
General Sarmiento,Buenos Aires,0.754,0.897,196.63,Tipuana tipu,16
Tigre,Buenos Aires,0.7507,0.906,380.42,Tipuana tipu,17
La Plata,Buenos Aires,0.7389,0.909,838.34,Tipuana tipu,18
La Matanza,Buenos Aires,0.7006,0.895,239.84,Tipuana tipu,19
Esteban Echeverría,Buenos Aires,0.6941,0.854,362.79,Tipuana tipu,20
San Fernando (1),Buenos Aires,0.6813,0.877,815.51,Tipuana tipu,21
Escobar,Buenos Aires,0.6532,0.765,247.38,Tipuana tipu,22
Merlo,Buenos Aires,0.6478,0.832,98.8,Tipuana tipu,23
San Vicente,Buenos Aires,0.6264,0.766,478.04,Tipuana tipu,24
Moreno,Buenos Aires,0.6116,0.827,86.9,Tipuana tipu,25
Pilar,Buenos Aires,0.5914,0.724,189.75,Tipuana tipu,26
Brandsen,Buenos Aires,0.5684,0.77,480.89,Tipuana tipu,27
Campana,Buenos Aires,0.553,0.74,282.67,Tipuana tipu,28
Magdalena,Buenos Aires,0.5354,0.818,905.23,Tipuana tipu,29
Zárate,Buenos Aires,0.5075,0.739,276.32,Tipuana tipu,30
Baradero,Buenos Aires,0.4579,0.761,231.82,Tipuana tipu,31
Cañuelas,Buenos Aires,0.4481,0.691,111.84,Tipuana tipu,32
Marcos Paz,Buenos Aires,0.4297,0.665,14.8,Tipuana tipu,33
Pinamar,Buenos Aires,0.4062,0.493,23.97,Tipuana tipu,34
General Rodríguez,Buenos Aires,0.3854,0.526,0,Tipuana tipu,35
San Pedro,Buenos Aires,0.3851,0.811,151.45,Tipuana tipu,36
Exaltación de la Cruz,Buenos Aires,0.3818,0.646,12.75,Tipuana tipu,37
Chascomús,Buenos Aires,0.36870000000000003,0.632,7.68,Tipuana tipu,38
Ramallo,Buenos Aires,0.3452,0.758,119.53,Tipuana tipu,39
General Paz,Buenos Aires,0.3442,0.564,0,Tipuana tipu,40
San Antonio de Areco,Buenos Aires,0.3227,0.62,1.42,Tipuana tipu,41
Luján,Buenos Aires,0.3182,0.584,0,Tipuana tipu,42
Villa Gesell,Buenos Aires,0.2838,0.478,51.2,Tipuana tipu,43
Nueve de Julio,Buenos Aires,0.2817,0.545,0,Tipuana tipu,44
Castelli,Buenos Aires,0.2813,0.453,77.82,Tipuana tipu,45
General Viamonte,Buenos Aires,0.2689,0.479,0,Tipuana tipu,46
Monte,Buenos Aires,0.262,0.552,0,Tipuana tipu,47
General Las Heras,Buenos Aires,0.2603,0.617,2.11,Tipuana tipu,48
San Nicolás,Buenos Aires,0.2564,0.589,0,Tipuana tipu,49
Arrecifes,Buenos Aires,0.2463,0.446,0,Tipuana tipu,50
Junín,Buenos Aires,0.2458,0.685,43.18,Tipuana tipu,51
