partido,provincia,idoneidad_media_bgen,idoneidad_max_bgen,area_alta_total_km2,riqueza_especies_aptas,indice_prioridad,rango_prioridad
Quilmes,Buenos Aires,0.8884,0.934,1823.05,19,0.9219,1
Vicente López,Buenos Aires,0.8823,0.932,698.82,19,0.9176,2
San Isidro,Buenos Aires,0.8817,0.935,1008.33,19,0.9172,3
General San Martín,Buenos Aires,0.88,0.931,1088.13,19,0.916,4
San Fernando (2),Buenos Aires,0.8716,0.928,497.61,19,0.9101,5
Tres de Febrero,Buenos Aires,0.8697,0.921,832.39,19,0.9088,6
Lomas de Zamora,Buenos Aires,0.869,0.922,1675.23,19,0.9083,7
Lanús,Buenos Aires,0.8682,0.919,911.81,19,0.9077,8
Avellaneda,Buenos Aires,0.8652,0.928,1140.19,19,0.9056,9
Berazategui,Buenos Aires,0.8618,0.934,4252.85,19,0.9033,10
Morón,Buenos Aires,0.858,0.923,2482.92,19,0.9006,11
Almirante Brown,Buenos Aires,0.8565,0.924,2419.74,19,0.8996,12
General Sarmiento,Buenos Aires,0.8462,0.928,3861.99,19,0.8923,13
Ensenada,Buenos Aires,0.8452,0.921,2074.47,19,0.8916,14
Tigre,Buenos Aires,0.8443,0.932,7635.51,19,0.891,15
Florencio Varela,Buenos Aires,0.8419,0.925,3865.86,19,0.8893,16
Berisso,Buenos Aires,0.825,0.92,2852.88,19,0.8775,17
La Plata,Buenos Aires,0.8242,0.927,16442.56,19,0.8769,18
San Fernando (1),Buenos Aires,0.8152,0.917,19034.13,19,0.8706,19
Escobar,Buenos Aires,0.8136,0.912,5512.15,19,0.8695,20
Moreno,Buenos Aires,0.8027,0.91,3421.7,19,0.8619,21
La Matanza,Buenos Aires,0.8025,0.918,5846.36,19,0.8618,22
Merlo,Buenos Aires,0.7935,0.905,3097.35,19,0.8554,23
Esteban Echeverría,Buenos Aires,0.7876,0.913,7219.6,19,0.8513,24
Pilar,Buenos Aires,0.7712,0.907,6768.89,19,0.8398,25
Campana,Buenos Aires,0.7582,0.898,17404.67,19,0.8307,26
San Vicente,Buenos Aires,0.7451,0.883,12648.26,19,0.8216,27
Brandsen,Buenos Aires,0.7444,0.91,18868.76,19,0.8211,28
Magdalena,Buenos Aires,0.6936,0.915,51265.26,19,0.7855,29
Zárate,Buenos Aires,0.677,0.89,17818.34,19,0.7739,30
Marcos Paz,Buenos Aires,0.6607,0.87,5805.09,19,0.7625,31
General Rodríguez,Buenos Aires,0.6504,0.871,4909.19,19,0.7553,32
Exaltación de la Cruz,Buenos Aires,0.6357,0.871,8203.15,19,0.745,33
Cañuelas,Buenos Aires,0.6309,0.857,13740.71,19,0.7416,34
Pinamar,Buenos Aires,0.6028,0.886,917.22,19,0.722,35
Chascomús,Buenos Aires,0.5995,0.916,42104.64,19,0.7196,36
General Paz,Buenos Aires,0.598,0.871,12732.57,19,0.7186,37
Baradero,Buenos Aires,0.5923,0.871,15348.35,19,0.7146,38
Luján,Buenos Aires,0.59,0.854,7719.28,19,0.713,39
San Pedro,Buenos Aires,0.5575,0.877,12226.57,19,0.6902,40
General Las Heras,Buenos Aires,0.5514,0.85,6426.82,19,0.686,41
Ramallo,Buenos Aires,0.5453,0.881,9403.13,19,0.6817,42
Monte,Buenos Aires,0.5227,0.87,15171.7,19,0.6659,43
San Antonio de Areco,Buenos Aires,0.5225,0.803,5425.66,19,0.6658,44
San Nicolás,Buenos Aires,0.5128,0.867,4948.99,19,0.659,45
Castelli,Buenos Aires,0.5113,0.876,15122.3,19,0.6579,46
Nueve de Julio,Buenos Aires,0.4865,0.864,23918.51,19,0.6406,47
Villa Gesell,Buenos Aires,0.4814,0.863,1424.16,19,0.637,48
Bragado,Buenos Aires,0.472,0.848,12418.27,19,0.6304,49
General Viamonte,Buenos Aires,0.4776,0.851,12657.87,18,0.6185,50
Arrecifes,Buenos Aires,0.4721,0.789,6370.68,18,0.6147,51
Capitán Sarmiento,Buenos Aires,0.457,0.754,1954.12,18,0.6041,52
Carlos Casares,Buenos Aires,0.446,0.86,12646.62,18,0.5964,53
